temperature_threshold,humidity_max_residual,pressure_max_residual,multivariate_detected,multivariate_total,multivariate_recall,accuracy,precision,recall,f1,fpr,TP,FP,FN,TN,added_alerts,baseline_f1,baseline_recall,baseline_fpr
6,5,0.5,4,7,0.5714285714285714,0.9937200274035168,0.6033057851239669,0.9125,0.7263681592039801,0.0055312283936390875,73,48,7,8630,16,0.745945945945946,0.8625,0.004148421295229315
7,5,0.5,4,7,0.5714285714285714,0.9937200274035168,0.6033057851239669,0.9125,0.7263681592039801,0.0055312283936390875,73,48,7,8630,16,0.745945945945946,0.8625,0.004148421295229315
6,15,3.0,7,7,1.0,0.9933774834437086,0.5846153846153846,0.95,0.7238095238095238,0.006222631942843973,76,54,4,8624,25,0.745945945945946,0.8625,0.004148421295229315
6,15,5.0,7,7,1.0,0.9933774834437086,0.5846153846153846,0.95,0.7238095238095238,0.006222631942843973,76,54,4,8624,25,0.745945945945946,0.8625,0.004148421295229315
5,2,1.0,3,7,0.42857142857142855,0.9937200274035168,0.6050420168067226,0.9,0.7236180904522613,0.005415994468771606,72,47,8,8631,14,0.745945945945946,0.8625,0.004148421295229315
6,8,0.5,4,7,0.5714285714285714,0.9936058460835807,0.5983606557377049,0.9125,0.7227722772277227,0.005646462318506568,73,49,7,8629,17,0.745945945945946,0.8625,0.004148421295229315
7,8,0.5,4,7,0.5714285714285714,0.9936058460835807,0.5983606557377049,0.9125,0.7227722772277227,0.005646462318506568,73,49,7,8629,17,0.745945945945946,0.8625,0.004148421295229315
5,2,0.5,2,7,0.2857142857142857,0.9937200274035168,0.6068376068376068,0.8875,0.7208121827411168,0.005300760543904126,71,46,9,8632,12,0.745945945945946,0.8625,0.004148421295229315
6,10,0.5,4,7,0.5714285714285714,0.9934916647636447,0.5934959349593496,0.9125,0.7192118226600985,0.005761696243374049,73,50,7,8628,18,0.745945945945946,0.8625,0.004148421295229315
7,10,0.5,4,7,0.5714285714285714,0.9934916647636447,0.5934959349593496,0.9125,0.7192118226600985,0.005761696243374049,73,50,7,8628,18,0.745945945945946,0.8625,0.004148421295229315
7,15,0.5,4,7,0.5714285714285714,0.9934916647636447,0.5934959349593496,0.9125,0.7192118226600985,0.005761696243374049,73,50,7,8628,18,0.745945945945946,0.8625,0.004148421295229315
5,2,2.0,3,7,0.42857142857142855,0.9934916647636447,0.5950413223140496,0.9,0.7164179104477612,0.005646462318506568,72,49,8,8629,16,0.745945945945946,0.8625,0.004148421295229315
5,2,3.0,3,7,0.42857142857142855,0.9934916647636447,0.5950413223140496,0.9,0.7164179104477612,0.005646462318506568,72,49,8,8629,16,0.745945945945946,0.8625,0.004148421295229315
5,2,5.0,3,7,0.42857142857142855,0.9934916647636447,0.5950413223140496,0.9,0.7164179104477612,0.005646462318506568,72,49,8,8629,16,0.745945945945946,0.8625,0.004148421295229315
6,15,0.5,4,7,0.5714285714285714,0.9933774834437086,0.5887096774193549,0.9125,0.7156862745098039,0.00587693016824153,73,51,7,8627,19,0.745945945945946,0.8625,0.004148421295229315
5,5,1.0,6,7,0.8571428571428571,0.9931491208038364,0.5769230769230769,0.9375,0.7142857142857143,0.006337865867711455,75,55,5,8623,25,0.745945945945946,0.8625,0.004148421295229315
4,2,0.5,2,7,0.2857142857142857,0.9934916647636447,0.5966386554621849,0.8875,0.7135678391959799,0.0055312283936390875,71,48,9,8630,14,0.745945945945946,0.8625,0.004148421295229315
4,2,1.0,3,7,0.42857142857142855,0.9933774834437086,0.5901639344262295,0.9,0.7128712871287128,0.005761696243374049,72,50,8,8628,17,0.745945945945946,0.8625,0.004148421295229315
5,10,1.0,7,7,1.0,0.9929207581639644,0.5671641791044776,0.95,0.7102803738317757,0.006683567642313897,76,58,4,8620,29,0.745945945945946,0.8625,0.004148421295229315
5,5,0.5,4,7,0.5714285714285714,0.9931491208038364,0.5793650793650794,0.9125,0.7087378640776699,0.006107398017976493,73,53,7,8625,21,0.745945945945946,0.8625,0.004148421295229315
